OTU	Mix2	Mix4	Mix5	Mix6	Mix8
seq1990	1	1	0	0	0
seq1991	2	1	0	0	1
seq1997	1	1	0	1	1
seq2	802	562	234	106	89
seq20	20	11	3	2	0
seq200	2	0	1	0	0
seq2003	1	0	0	1	0
seq202	2	0	0	0	0
seq2020	1	1	0	0	0
seq2025	2	1	0	1	0
seq2029	4	1	1	0	0
seq2032	1	1	0	0	0
seq2033	1	1	1	0	0
seq2034	1	1	0	0	0
seq2038	1	1	0	0	0
seq2039	3	0	0	1	1
seq2043	2	0	0	0	0
seq2046	1	1	0	0	0
seq2049	1	1	0	0	0
seq205	2	4	0	0	0
seq2050	2	0	4	0	1
seq2057	1	1	0	0	0
seq2060	1	0	0	1	1
seq2061	1	1	0	0	0
seq2062	1	2	0	0	0
seq2067	1	0	0	0	1
seq207	1	1	0	0	0
seq2073	1	1	0	0	0
seq2082	2	0	0	0	0
seq2088	1	1	0	0	0
seq209	3	0	0	0	0
seq2092	1	2	0	0	0
seq2097	1	2	1	0	2
seq2099	1	0	0	0	1
seq21	3	0	0	0	0
seq2100	1	2	0	1	0
seq2102	1	0	1	1	0
seq2103	1	0	0	1	0
seq2104	1	4	1	1	0
seq2106	1	1	0	0	0
seq2107	3	0	1	1	0
seq2114	1	1	0	0	0
seq2119	1	1	0	1	0
seq212	1	0	0	1	0
seq2123	1	3	1	0	0
seq2130	1	1	0	0	1
seq2131	1	2	0	0	0
seq2135	1	1	0	0	0
seq2136	1	0	0	0	1
seq2137	1	0	0	0	1
seq2142	1	0	0	1	0
seq2149	1	1	0	0	2
seq2151	3	1	0	0	0
seq2158	1	2	0	2	2
seq2164	1	0	2	0	0
seq2169	1	1	0	0	0
seq217	2	0	0	0	0
seq2170	2	0	0	1	0
seq2173	1	1	0	0	1
seq218	1	0	1	0	0
seq2183	2	1	0	0	0
seq2187	2	1	0	0	0
seq2189	1	1	1	0	0
seq2191	2	0	0	0	0
seq2197	2	0	0	0	0
seq2199	2	1	0	0	0
seq22	202	265	83	48	26
seq220	3	1	0	0	1
seq2200	2	0	1	0	0
seq2201	1	1	0	0	0
seq2203	1	1	0	1	0
seq2210	1	1	0	0	0
seq2218	1	1	0	0	0
seq2219	4	1	3	0	0
seq222	1	0	0	0	1
seq2223	1	0	1	0	0
seq2224	3	2	1	0	0
seq223	2	0	0	0	0
seq2232	1	1	0	0	0
seq2238	2	0	0	0	0
seq2239	1	1	0	0	0
